,Number,IncidentAddress,Street,Town,State,Zip,IncidentLatitude,IncidentLongitude,Coordinates
137,2017-00000087,325 10 1/2 Street Northwest Charlottesville VA 22903,325 10 1/2 Street Northwest,Charlottesville,VA,22903,38.0363,-78.494081,"(38.0363, -78.494081)"
143,2017-00000088,108 LANKFORD Charlottesville VA 22902,108 LANKFORD,Charlottesville,VA,22902,38.021668,-78.487315,"(38.021668, -78.487315)"
148,2017-00000090,Meade ave Charlottesville VA 22902,Meade ave,Charlottesville,VA,22902,38.028806,-78.465822,"(38.028806, -78.465822)"
153,2017-00000093,EMMET ST N / BARRACKS Charlottesville VA 22903,EMMET ST N / BARRACKS,Charlottesville,VA,22903,38.052685,-78.499058,"(38.052685, -78.499058)"
154,2017-00000094,800 CALHOUN Charlottesville VA 22901,800 CALHOUN,Charlottesville,VA,22901,38.04172,-78.465012,"(38.04172, -78.465012)"
156,2017-00000095,1904 EMMET North Charlottesville VA 22901,1904 EMMET North,Charlottesville,VA,22901,38.060106,-78.491242,"(38.060106, -78.491242)"
157,2017-00000097,1329 RIVERDALE Charlottesville VA 22902,1329 RIVERDALE,Charlottesville,VA,22902,,,"(nan, nan)"
158,2017-00000097,1329 RIVERDALE Charlottesville VA 22902,1329 RIVERDALE,Charlottesville,VA,22902,,,"(nan, nan)"
159,2017-00000098,0 400 BRANDON Charlottesville VA 22903,0 400 BRANDON,Charlottesville,VA,22903,38.032002,-78.503592,"(38.032002, -78.503592)"
171,2017-00000099,1149 SEMINOLE Charlottesville VA 22901,1149 SEMINOLE,Charlottesville,VA,22901,38.065551,-78.487773,"(38.065551, -78.487773)"
172,2017-00000104,100 ELLIOTT 204 Charlottesville VA 22902,100 ELLIOTT 204,Charlottesville,VA,22902,38.025815,-78.488792,"(38.025815, -78.488792)"
178,2017-00000106,622 250 A Charlottesville VA 22902,622 250 A,Charlottesville,VA,22902,38.03955,-78.470475,"(38.03955, -78.470475)"
202,2017-00000112,600 MASSIE Charlottesville VA 22903,600 MASSIE,Charlottesville,VA,22903,38.053602,-78.507727,"(38.053602, -78.507727)"
208,2017-00000115,207 Ridge St Charlottesville VA 22903,207 Ridge St,Charlottesville,VA,22903,38.029303,-78.486026,"(38.029303, -78.486026)"
211,2017-00000118,508 HARRIS Charlottesville VA 22903,508 HARRIS,Charlottesville,VA,22903,38.014451,-78.503218,"(38.014451, -78.503218)"
213,2017-00000119,409 Garrett St D Charlottesville VA 22902,409 Garrett St D,Charlottesville,VA,22902,38.027547,-78.48069,"(38.027547, -78.48069)"
216,2017-00000120,102 Hartford Ct Charlottesville VA 22902,102 Hartford Ct,Charlottesville,VA,22902,38.018714,-78.471942,"(38.018714, -78.471942)"
222,2017-00000122,1411 Baker Charlottesville VA 22903,1411 Baker,Charlottesville,VA,22903,38.025729,-78.502881,"(38.025729, -78.502881)"
226,2017-00000124,1413 Cherry Ave Charlottesville VA 22903,1413 Cherry Ave,Charlottesville,VA,22903,38.024881,-78.502277,"(38.024881, -78.502277)"
232,2017-00000125,1514 AMHERST Charlottesville VA 22903,1514 AMHERST,Charlottesville,VA,22903,38.042598,-78.485511,"(38.042598, -78.485511)"
237,2017-00000126,200 AVON Charlottesville VA 22902,200 AVON,Charlottesville,VA,22902,38.028171,-78.477239,"(38.028171, -78.477239)"
241,2017-00000127,310 East MAIN 100 Charlottesville VA 22902,310 East MAIN 100,Charlottesville,VA,22902,38.030059,-78.479475,"(38.030059, -78.479475)"
244,2017-00000129,345 CRISPELL Charlottesville VA 22903,345 CRISPELL,Charlottesville,VA,22903,38.030378,-78.501118,"(38.030378, -78.501118)"
250,2017-00000130,151 WHITEWOOD 10 Charlottesville VA 22901,151 WHITEWOOD 10,Charlottesville,VA,22901,38.074186,-78.494396,"(38.074186, -78.494396)"
256,2017-00000133,2332 PEYTON 11 Charlottesville VA 22901,2332 PEYTON 11,Charlottesville,VA,22901,38.072621,-78.492335,"(38.072621, -78.492335)"
260,2017-00000134,1117 FOREST 5 Charlottesville VA 22903,1117 FOREST 5,Charlottesville,VA,22903,38.040739,-78.483761,"(38.040739, -78.483761)"
262,2017-00000135,224 14TH Northwest 101 Charlottesville VA 22903,224 14TH Northwest 101,Charlottesville,VA,22903,38.035873,-78.497904,"(38.035873, -78.497904)"
273,2017-00000137,15TH Northwest Charlottesville VA 22903,15TH Northwest,Charlottesville,VA,22903,38.040497,-78.497197,"(38.040497, -78.497197)"
276,2017-00000138,401 4TH Northwest 219 Charlottesville VA 22903,401 4TH Northwest 219,Charlottesville,VA,22903,38.034024,-78.485229,"(38.034024, -78.485229)"
280,2017-00000142,1009 5TH Southwest Charlottesville VA 22902,1009 5TH Southwest,Charlottesville,VA,22902,38.020499,-78.494837,"(38.020499, -78.494837)"
291,2017-00000143,1159 Emmett St Charlottesville VA 22903,1159 Emmett St,Charlottesville,VA,22903,38.053242,-78.50021,"(38.053242, -78.50021)"
296,2017-00000145,Locust Avenue City of Charlottesville VA 22901,Locust Avenue City of,Charlottesville,VA,22901,38.038293,-78.465904,"(38.038293, -78.465904)"
299,2017-00000146,1517 ROSA Charlottesville VA 22902,1517 ROSA,Charlottesville,VA,22902,38.019231,-78.486343,"(38.019231, -78.486343)"
301,2017-00000148,1329 Riverdale Charlottesville VA 22902,1329 Riverdale,Charlottesville,VA,22902,38.034629,-78.460671,"(38.034629, -78.460671)"
303,2017-00000149,1506 Melbourne Road Charlottesville VA 22901,1506 Melbourne Road,Charlottesville,VA,22901,38.05494,-78.473033,"(38.05494, -78.473033)"
308,2017-00000150,1522 East MARKET 201 Charlottesville VA 22902,1522 East MARKET 201,Charlottesville,VA,22902,38.023677,-78.462795,"(38.023677, -78.462795)"
310,2017-00000153,454 FARRISH 6 Charlottesville VA 22903,454 FARRISH 6,Charlottesville,VA,22903,38.047535,-78.509978,"(38.047535, -78.509978)"
314,2017-00000154,1900 RICHMOND Charlottesville VA 22911,1900 RICHMOND,Charlottesville,VA,22911,38.02348,-78.433745,"(38.02348, -78.433745)"
315,2017-00000155,1005 1/2 Cherry Avenue Charlottesville VA 22903,1005 1/2 Cherry Avenue,Charlottesville,VA,22903,38.028651,-78.497208,"(38.028651, -78.497208)"
319,2017-00000157,Holly Road Charlottesville VA 22901,Holly Road,Charlottesville,VA,22901,38.05726,-78.47383,"(38.05726, -78.47383)"
324,2017-00000159,1506 DealMead Lane B Charlottesville VA 22901,1506 DealMead Lane B,Charlottesville,VA,22901,38.060857,-78.499329,"(38.060857, -78.499329)"
330,2017-00000163,1635 MERIDIAN B Charlottesville VA 22902,1635 MERIDIAN B,Charlottesville,VA,22902,38.012886,-78.481646,"(38.012886, -78.481646)"
335,2017-00000164,794 ALDERMAN Charlottesville VA 22903,794 ALDERMAN,Charlottesville,VA,22903,38.030293,-78.51574,"(38.030293, -78.51574)"
341,2017-00000165,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)"
348,2017-00000167,795 ALDERMAN Charlottesville VA 22903,795 ALDERMAN,Charlottesville,VA,22903,38.03072,-78.51624,"(38.03072, -78.51624)"
352,2017-00000168,Emmett Street Charlottesville VA 22903,Emmett Street,Charlottesville,VA,22903,38.052757,-78.498902,"(38.052757, -78.498902)"
357,2017-00000169,1451 AVON Charlottesville VA 22902,1451 AVON,Charlottesville,VA,22902,38.017338,-78.484499,"(38.017338, -78.484499)"
361,2017-00000175,794 ALDERMAN Charlottesville VA 22903,794 ALDERMAN,Charlottesville,VA,22903,38.030293,-78.51574,"(38.030293, -78.51574)"
367,2017-00000176,7 West PAVILION Charlottesville VA 22903,7 West PAVILION,Charlottesville,VA,22903,38.034659,-78.504561,"(38.034659, -78.504561)"
373,2017-00000180,WERTLAND Charlottesville VA 22903,WERTLAND,Charlottesville,VA,22903,38.033915,-78.494235,"(38.033915, -78.494235)"
376,2017-00000183,614 Bailey Charlottesville VA 22903,614 Bailey,Charlottesville,VA,22903,38.021007,-78.49592,"(38.021007, -78.49592)"
380,2017-00000184,119 Maury Charlottesville VA 22903,119 Maury,Charlottesville,VA,22903,38.026962,-78.515762,"(38.026962, -78.515762)"
384,2017-00000185,1522 East MARKET 201 Charlottesville VA 22902,1522 East MARKET 201,Charlottesville,VA,22902,38.023816,-78.462529,"(38.023816, -78.462529)"
385,2017-00000187,500 South 1st 408 Charlottesville VA 22902,500 South 1st 408,Charlottesville,VA,22902,38.027063,-78.482995,"(38.027063, -78.482995)"
389,2017-00000188,MEADE Charlottesville VA 22902,MEADE,Charlottesville,VA,22902,38.026363,-78.467409,"(38.026363, -78.467409)"
392,2017-00000189,251 COLONNADE 3 Charlottesville VA 22903,251 COLONNADE 3,Charlottesville,VA,22903,38.043244,-78.517575,"(38.043244, -78.517575)"
395,2017-00000195,1213 Little High Charlottesville VA 22902,1213 Little High,Charlottesville,VA,22902,38.029476,-78.466986,"(38.029476, -78.466986)"
399,2017-00000199,810 RUGBY Charlottesville VA 22903,810 RUGBY,Charlottesville,VA,22903,38.043993,-78.496917,"(38.043993, -78.496917)"
403,2017-00000200,1805 MEADOWBROOK HEIGHTS Charlottesville VA 22901,1805 MEADOWBROOK HEIGHTS,Charlottesville,VA,22901,38.06085,-78.478707,"(38.06085, -78.478707)"
404,2017-00000201,251 COLONNADE 12 Charlottesville VA 22903,251 COLONNADE 12,Charlottesville,VA,22903,38.043244,-78.517575,"(38.043244, -78.517575)"
407,2017-00000202,1320 BRANCHLANDS Charlottesville VA 22901,1320 BRANCHLANDS,Charlottesville,VA,22901,38.071833,-78.477197,"(38.071833, -78.477197)"
410,2017-00000205,197 MCCORMICK Charlottesville VA 22903,197 MCCORMICK,Charlottesville,VA,22903,38.034912,-78.505514,"(38.034912, -78.505514)"
413,2017-00000206,1427 Briafcliff Charlottesville VA 22903,1427 Briafcliff,Charlottesville,VA,22903,38.024104,-78.500493,"(38.024104, -78.500493)"
417,2017-00000212,500 1ST South 612 Charlottesville VA 22902,500 1ST South 612,Charlottesville,VA,22902,38.026923,-78.483262,"(38.026923, -78.483262)"
421,2017-00000219,2055 BOND Charlottesville VA 22901,2055 BOND,Charlottesville,VA,22901,38.064772,-78.49237,"(38.064772, -78.49237)"
423,2017-00000223,100 RIDGE 101 Charlottesville VA 22902,100 RIDGE 101,Charlottesville,VA,22902,38.030109,-78.48465,"(38.030109, -78.48465)"
425,2017-00000224,1600 GORDON Charlottesville VA 22903,1600 GORDON,Charlottesville,VA,22903,38.039929,-78.498853,"(38.039929, -78.498853)"
429,2017-00000225,2507 PLATEAU Charlottesville VA 22903,2507 PLATEAU,Charlottesville,VA,22903,38.025371,-78.521222,"(38.025371, -78.521222)"
433,2017-00000227,301 15TH Northwest Charlottesville VA 22903,301 15TH Northwest,Charlottesville,VA,22903,38.036985,-78.499507,"(38.036985, -78.499507)"
440,2017-00000232,1103 ST CHARLES Charlottesville VA 22901,1103 ST CHARLES,Charlottesville,VA,22901,38.043733,-78.461175,"(38.043733, -78.461175)"
444,2017-00000234,247 RIDGE MCINTIRE Charlottesville VA 22903,247 RIDGE MCINTIRE,Charlottesville,VA,22903,38.032205,-78.485276,"(38.032205, -78.485276)"
448,2017-00000235,1310 carlton ave. I Charlottesville VA 22902,1310 carlton ave. I,Charlottesville,VA,22902,38.021855,-78.468746,"(38.021855, -78.468746)"
450,2017-00000236,1704 INGLEWOOD Charlottesville VA 22901,1704 INGLEWOOD,Charlottesville,VA,22901,38.064182,-78.498994,"(38.064182, -78.498994)"
453,2017-00000241,Rugby Avenue Charlottesville VA 22903,Rugby Avenue,Charlottesville,VA,22903,38.04601,-78.487777,"(38.04601, -78.487777)"
457,2017-00000245,2111 MICHIE 27 Charlottesville VA 22901,2111 MICHIE 27,Charlottesville,VA,22901,38.061426,-78.485375,"(38.061426, -78.485375)"
468,2017-00000248,404 Garrett 6 Charlottesville VA 22902,404 Garrett 6,Charlottesville,VA,22902,38.028035,-78.48101,"(38.028035, -78.48101)"
473,2017-00000249,1313 CARTER Charlottesville VA 22901,1313 CARTER,Charlottesville,VA,22901,38.056885,-78.472037,"(38.056885, -78.472037)"
477,2017-00000250,135 HOSPITAL Charlottesville VA 22903,135 HOSPITAL,Charlottesville,VA,22903,38.033312,-78.502501,"(38.033312, -78.502501)"
487,2017-00000251,1623 MERIDIAN A Charlottesville VA 22902,1623 MERIDIAN A,Charlottesville,VA,22902,38.013001,-78.4825,"(38.013001, -78.4825)"
488,2017-00000253,516 LEXINGTON Charlottesville VA 22902,516 LEXINGTON,Charlottesville,VA,22902,38.033577,-78.472159,"(38.033577, -78.472159)"
498,2017-00000255,1242 CEDARS Charlottesville VA 22903,1242 CEDARS,Charlottesville,VA,22903,38.056804,-78.499922,"(38.056804, -78.499922)"
500,2017-00000256,711 RIDGE C Charlottesville VA 22902,711 RIDGE C,Charlottesville,VA,22902,38.023926,-78.490417,"(38.023926, -78.490417)"
503,2017-00000260,100 RIDGE 115 Charlottesville VA 22902,100 RIDGE 115,Charlottesville,VA,22902,38.030109,-78.48465,"(38.030109, -78.48465)"
508,2017-00000261,711 RIDGE B Charlottesville VA 22902,711 RIDGE B,Charlottesville,VA,22902,38.024066,-78.490151,"(38.024066, -78.490151)"
511,2017-00000262,935 DORCHESTER 302 Charlottesville VA 22911,935 DORCHESTER 302,Charlottesville,VA,22911,38.030397,-78.450205,"(38.030397, -78.450205)"
514,2017-00000264,1337 CARLTON 305 Charlottesville VA 22902,1337 CARLTON 305,Charlottesville,VA,22902,38.021266,-78.46455,"(38.021266, -78.46455)"
521,2017-00000265,207 Ridge Charlottesville VA 22903,207 Ridge,Charlottesville,VA,22903,38.029303,-78.486026,"(38.029303, -78.486026)"
525,2017-00000267,133 CHANCELLOR Charlottesville VA 22903,133 CHANCELLOR,Charlottesville,VA,22903,38.037623,-78.501034,"(38.037623, -78.501034)"
531,2017-00000268,1115 East HIGH Charlottesville VA 22902,1115 East HIGH,Charlottesville,VA,22902,38.032001,-78.468948,"(38.032001, -78.468948)"
536,2017-00000270,1417 SHORT 18TH A Charlottesville VA 22902,1417 SHORT 18TH A,Charlottesville,VA,22902,38.026378,-78.460976,"(38.026378, -78.460976)"
541,2017-00000271,10TH ST NW / WERTLAND Charlottesville VA 22903,10TH ST NW / WERTLAND,Charlottesville,VA,22903,38.033982,-78.494027,"(38.033982, -78.494027)"
544,2017-00000272,1100 East JEFFERSON Charlottesville VA 22902,1100 East JEFFERSON,Charlottesville,VA,22902,38.029219,-78.471405,"(38.029219, -78.471405)"
547,2017-00000273,828 CHERRY Charlottesville VA 22903,828 CHERRY,Charlottesville,VA,22903,38.028675,-78.494163,"(38.028675, -78.494163)"
552,2017-00000274,35 HANCOCK 313 Charlottesville VA 22904,35 HANCOCK 313,Charlottesville,VA,22904,38.035454,-78.512218,"(38.035454, -78.512218)"
559,2017-00000275,409 Garrett Street D Charlottesville VA 22902,409 Garrett Street D,Charlottesville,VA,22902,38.027408,-78.480956,"(38.027408, -78.480956)"
563,2017-00000276,100 Harris Charlottesville VA 22903,100 Harris,Charlottesville,VA,22903,38.014971,-78.510724,"(38.014971, -78.510724)"
569,2017-00000277,713 HARRIS Charlottesville VA 22903,713 HARRIS,Charlottesville,VA,22903,38.036255,-78.484703,"(38.036255, -78.484703)"
573,2017-00000278,301 15TH Northwest * Charlottesville VA 22903,301 15TH Northwest *,Charlottesville,VA,22903,38.036985,-78.499507,"(38.036985, -78.499507)"
579,2017-00000279,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)"
585,2017-00000280,2111 Michie Drive 43 Charlottesville VA 22901,2111 Michie Drive 43,Charlottesville,VA,22901,38.061018,-78.486324,"(38.061018, -78.486324)"
588,2017-00000282,975 EMMET North Charlottesville VA 22903,975 EMMET North,Charlottesville,VA,22903,38.050167,-78.503658,"(38.050167, -78.503658)"
591,2017-00000283,ELLIOTT AVE / AVON Charlottesville VA 22902,ELLIOTT AVE / AVON,Charlottesville,VA,22902,38.021255,-78.481404,"(38.021255, -78.481404)"
594,2017-00000285,121 North BAKER Charlottesville VA 22903,121 North BAKER,Charlottesville,VA,22903,38.027496,-78.50405,"(38.027496, -78.50405)"
597,2017-00000288,1403 HAMPTON Charlottesville VA 22902,1403 HAMPTON,Charlottesville,VA,22902,38.019178,-78.46871,"(38.019178, -78.46871)"
601,2017-00000292,200 water st Charlottesville VA 22902,200 water st,Charlottesville,VA,22902,38.030328,-78.482572,"(38.030328, -78.482572)"
606,2017-00000293,136 BUCKINGHAM Charlottesville VA 22903,136 BUCKINGHAM,Charlottesville,VA,22903,38.031123,-78.530825,"(38.031123, -78.530825)"
610,2017-00000294,744 Prospect D Charlottesville VA 22903,744 Prospect D,Charlottesville,VA,22903,38.023637,-78.494228,"(38.023637, -78.494228)"
614,2017-00000295,1309 West MAIN Charlottesville VA 22903,1309 West MAIN,Charlottesville,VA,22903,38.033888,-78.498249,"(38.033888, -78.498249)"
621,2017-00000296,1004 HOLMES Charlottesville VA 22901,1004 HOLMES,Charlottesville,VA,22901,38.043177,-78.464698,"(38.043177, -78.464698)"
625,2017-00000297,Rio Road East Charlottesville VA 22901,Rio Road East,Charlottesville,VA,22901,38.066936,-78.466363,"(38.066936, -78.466363)"
629,2017-00000298,503 East MARKET Charlottesville VA 22902,503 East MARKET,Charlottesville,VA,22902,38.030786,-78.477373,"(38.030786, -78.477373)"
641,2017-00000299,613 ROCK CREEK Charlottesville VA 22903,613 ROCK CREEK,Charlottesville,VA,22903,38.023649,-78.5015,"(38.023649, -78.5015)"
645,2017-00000300,1242 CEDARS 107B Charlottesville VA 22903,1242 CEDARS 107B,Charlottesville,VA,22903,38.056804,-78.499922,"(38.056804, -78.499922)"
646,2017-00000301,112 West MARKET Charlottesville VA 22902,112 West MARKET,Charlottesville,VA,22902,38.031536,-78.481253,"(38.031536, -78.481253)"
650,2017-00000302,87 UNIVERSITY 9 Charlottesville VA 22903,87 UNIVERSITY 9,Charlottesville,VA,22903,38.044692,-78.504683,"(38.044692, -78.504683)"
654,2017-00000305,417 West MAIN Charlottesville VA 22903,417 West MAIN,Charlottesville,VA,22903,38.030964,-78.48702,"(38.030964, -78.48702)"
657,2017-00000306,1249 Seminole Charlottesville VA 22901,1249 Seminole,Charlottesville,VA,22901,38.065551,-78.487773,"(38.065551, -78.487773)"
658,2017-00000309,401 4th *** Charlottesville VA 22903,401 4th ***,Charlottesville,VA,22903,38.033885,-78.485495,"(38.033885, -78.485495)"
662,2017-00000310,701 East HIGH 105 Charlottesville VA 22902,701 East HIGH 105,Charlottesville,VA,22902,38.031679,-78.475889,"(38.031679, -78.475889)"
663,2017-00000311,975 EMMET North Charlottesville VA 22903,975 EMMET North,Charlottesville,VA,22903,38.050167,-78.503658,"(38.050167, -78.503658)"
666,2017-00000312,EMMET ST N / MASSIE Charlottesville VA 22903,EMMET ST N / MASSIE,Charlottesville,VA,22903,38.04441,-78.505044,"(38.04441, -78.505044)"
670,2017-00000313,301 15TH Northwest Charlottesville VA 22903,301 15TH Northwest,Charlottesville,VA,22903,38.036985,-78.499507,"(38.036985, -78.499507)"
676,2017-00000315,1242 CEDARS 107 Charlottesville VA 22903,1242 CEDARS 107,Charlottesville,VA,22903,38.056804,-78.499922,"(38.056804, -78.499922)"
677,2017-00000322,221 LANKFORD Charlottesville VA 22902,221 LANKFORD,Charlottesville,VA,22902,38.023148,-78.489604,"(38.023148, -78.489604)"
682,2017-00000323,601 Preston Charlottesville VA 22903,601 Preston,Charlottesville,VA,22903,38.035673,-78.485256,"(38.035673, -78.485256)"
691,2017-00000325,1923 LEWIS MOUNTAIN Charlottesville VA 22903,1923 LEWIS MOUNTAIN,Charlottesville,VA,22903,38.038129,-78.509415,"(38.038129, -78.509415)"
695,2017-00000329,1215 LEE Charlottesville VA 22903,1215 LEE,Charlottesville,VA,22903,38.03211,-78.498985,"(38.03211, -78.498985)"
701,2017-00000331,1159 EMMET North Charlottesville VA 22903,1159 EMMET North,Charlottesville,VA,22903,38.053242,-78.50021,"(38.053242, -78.50021)"
708,2017-00000332,528 MEADE Charlottesville VA 22902,528 MEADE,Charlottesville,VA,22902,38.031396,-78.463943,"(38.031396, -78.463943)"
713,2017-00000333,513 ROUGEMONT Charlottesville VA 22902,513 ROUGEMONT,Charlottesville,VA,22902,38.017871,-78.487062,"(38.017871, -78.487062)"
717,2017-00000334,1 MORTON Charlottesville VA 22903,1 MORTON,Charlottesville,VA,22903,38.055348,-78.495608,"(38.055348, -78.495608)"
720,2017-00000335,816 CHERRY Charlottesville VA 22903,816 CHERRY,Charlottesville,VA,22903,38.028403,-78.493725,"(38.028403, -78.493725)"
722,2017-00000337,319 East MAIN Charlottesville VA 22902,319 East MAIN,Charlottesville,VA,22902,38.03035,-78.479465,"(38.03035, -78.479465)"
733,2017-00000339,2228 BANBURY Charlottesville VA 22901,2228 BANBURY,Charlottesville,VA,22901,38.062292,-78.46675,"(38.062292, -78.46675)"
737,2017-00000345,100 RIDGE 208 Charlottesville VA 22902,100 RIDGE 208,Charlottesville,VA,22902,38.02997,-78.484916,"(38.02997, -78.484916)"
741,2017-00000347,East High Charlottesville VA 22902,East High,Charlottesville,VA,22902,38.031788,-78.469826,"(38.031788, -78.469826)"
744,2017-00000348,south 1st Street Charlottesville VA 22902,south 1st Street,Charlottesville,VA,22902,38.021361,-78.486791,"(38.021361, -78.486791)"
751,2017-00000350,209 CAMELLIA Charlottesville VA 22903,209 CAMELLIA,Charlottesville,VA,22903,38.01304,-78.511651,"(38.01304, -78.511651)"
755,2017-00000352,701 NORTH Charlottesville VA 22901,701 NORTH,Charlottesville,VA,22901,38.0429,-78.46623,"(38.0429, -78.46623)"
760,2017-00000353,201 15TH Northwest Charlottesville VA 22903,201 15TH Northwest,Charlottesville,VA,22903,38.036144,-78.499683,"(38.036144, -78.499683)"
763,2017-00000354,Gold eagle Charlottesville VA 22903,Gold eagle,Charlottesville,VA,22903,38.017462,-78.542858,"(38.017462, -78.542858)"
766,2017-00000355,1219 John St Charlottesville VA 22903,1219 John St,Charlottesville,VA,22903,38.03684,-78.496311,"(38.03684, -78.496311)"
770,2017-00000359,1509 GRADY Charlottesville VA 22903,1509 GRADY,Charlottesville,VA,22903,38.040743,-78.497707,"(38.040743, -78.497707)"
773,2017-00000361,728 PROSPECT H Charlottesville VA 22903,728 PROSPECT H,Charlottesville,VA,22903,38.023296,-78.49514,"(38.023296, -78.49514)"
776,2017-00000362,3101 Fontaine Charlottesville VA 22903,3101 Fontaine,Charlottesville,VA,22903,38.025062,-78.533559,"(38.025062, -78.533559)"
